Cuvant,Locatii
I,"(Linia 22, Pozitia 1), (Linia 24, Pozitia 1), (Linia 27, Pozitia 16), (Linia 32, Pozitia 8), (Linia 32, Pozitia 16), (Linia 36, Pozitia 2), (Linia 36, Pozitia 8), (Linia 36, Pozitia 13), (Linia 37, Pozitia 8), (Linia 39, Pozitia 1), (Linia 39, Pozitia 18), (Linia 40, Pozitia 4), (Linia 41, Pozitia 2), (Linia 41, Pozitia 12), (Linia 42, Pozitia 4), (Linia 42, Pozitia 7), (Linia 43, Pozitia 11), (Linia 44, Pozitia 9), (Linia 44, Pozitia 15), (Linia 48, Pozitia 2), (Linia 49, Pozitia 10), (Linia 50, Pozitia 4), (Linia 51, Pozitia 6), (Linia 52, Pozitia 4), (Linia 52, Pozitia 17), (Linia 58, Pozitia 1), (Linia 58, Pozitia 8), (Linia 58, Pozitia 14), (Linia 58, Pozitia 19), (Linia 59, Pozitia 2), (Linia 60, Pozitia 2), (Linia 61, Pozitia 18), (Linia 62, Pozitia 18), (Linia 64, Pozitia 1), (Linia 64, Pozitia 15), (Linia 68, Pozitia 4), (Linia 68, Pozitia 9), (Linia 73, Pozitia 14), (Linia 74, Pozitia 10), (Linia 74, Pozitia 13), (Linia 75, Pozitia 5), (Linia 75, Pozitia 16), (Linia 78, Pozitia 2), (Linia 78, Pozitia 8), (Linia 78, Pozitia 21), (Linia 79, Pozitia 9), (Linia 80, Pozitia 6), (Linia 81, Pozitia 7), (Linia 82, Pozitia 1), (Linia 85, Pozitia 1), (Linia 88, Pozitia 1), (Linia 91, Pozitia 2), (Linia 93, Pozitia 6), (Linia 94, Pozitia 7), (Linia 94, Pozitia 17), (Linia 96, Pozitia 2), (Linia 98, Pozitia 2), (Linia 99, Pozitia 4), (Linia 102, Pozitia 6), (Linia 105, Pozitia 3), (Linia 109, Pozitia 18), (Linia 113, Pozitia 2), (Linia 113, Pozitia 8), (Linia 115, Pozitia 3), (Linia 117, Pozitia 17), (Linia 120, Pozitia 1), (Linia 120, Pozitia 12), (Linia 126, Pozitia 6), (Linia 126, Pozitia 15), (Linia 132, Pozitia 9), (Linia 145, Pozitia 1), (Linia 147, Pozitia 7), (Linia 152, Pozitia 1), (Linia 160, Pozitia 2), (Linia 160, Pozitia 15), (Linia 165, Pozitia 16), (Linia 167, Pozitia 11), (Linia 175, Pozitia 14), (Linia 176, Pozitia 8), (Linia 180, Pozitia 2), (Linia 180, Pozitia 11), (Linia 181, Pozitia 13), (Linia 182, Pozitia 19), (Linia 183, Pozitia 14), (Linia 186, Pozitia 2), (Linia 187, Pozitia 17), (Linia 188, Pozitia 20), (Linia 189, Pozitia 10), (Linia 189, Pozitia 18), (Linia 190, Pozitia 4), (Linia 191, Pozitia 12), (Linia 192, Pozitia 1), (Linia 192, Pozitia 3), (Linia 192, Pozitia 15), (Linia 193, Pozitia 2), (Linia 195, Pozitia 3), (Linia 196, Pozitia 12), (Linia 202, Pozitia 2), (Linia 203, Pozitia 1), (Linia 206, Pozitia 1), (Linia 234, Pozitia 7), (Linia 236, Pozitia 9), (Linia 236, Pozitia 13), (Linia 238, Pozitia 11), (Linia 239, Pozitia 2), (Linia 240, Pozitia 16), (Linia 241, Pozitia 9), (Linia 243, Pozitia 5), (Linia 243, Pozitia 8), (Linia 243, Pozitia 13), (Linia 243, Pozitia 17), (Linia 246, Pozitia 4), (Linia 247, Pozitia 11), (Linia 249, Pozitia 1), (Linia 254, Pozitia 2), (Linia 259, Pozitia 3), (Linia 273, Pozitia 1), (Linia 273, Pozitia 5), (Linia 273, Pozitia 20), (Linia 277, Pozitia 13), (Linia 278, Pozitia 3), (Linia 282, Pozitia 2), (Linia 284, Pozitia 1), (Linia 284, Pozitia 8), (Linia 287, Pozitia 8), (Linia 287, Pozitia 13), (Linia 287, Pozitia 16), (Linia 297, Pozitia 1), (Linia 299, Pozitia 9), (Linia 299, Pozitia 14), (Linia 308, Pozitia 3), (Linia 316, Pozitia 14), (Linia 317, Pozitia 3), (Linia 318, Pozitia 11), (Linia 318, Pozitia 17), (Linia 318, Pozitia 20), (Linia 319, Pozitia 13), (Linia 320, Pozitia 2), (Linia 320, Pozitia 11), (Linia 320, Pozitia 13), (Linia 320, Pozitia 20), (Linia 321, Pozitia 2), (Linia 324, Pozitia 1), (Linia 338, Pozitia 7), (Linia 341, Pozitia 10), (Linia 344, Pozitia 3), (Linia 353, Pozitia 2), (Linia 355, Pozitia 1), (Linia 355, Pozitia 8), (Linia 359, Pozitia 2), (Linia 369, Pozitia 1), (Linia 370, Pozitia 16), (Linia 374, Pozitia 1), (Linia 374, Pozitia 6), (Linia 375, Pozitia 7), (Linia 375, Pozitia 12), (Linia 376, Pozitia 13), (Linia 380, Pozitia 1), (Linia 396, Pozitia 1), (Linia 396, Pozitia 9), (Linia 399, Pozitia 2), (Linia 400, Pozitia 7), (Linia 400, Pozitia 18), (Linia 405, Pozitia 1), (Linia 405, Pozitia 9), (Linia 406, Pozitia 18), (Linia 407, Pozitia 3), (Linia 423, Pozitia 18), (Linia 425, Pozitia 1), (Linia 425, Pozitia 12), (Linia 425, Pozitia 18), (Linia 427, Pozitia 5), (Linia 427, Pozitia 10), (Linia 429, Pozitia 5), (Linia 430, Pozitia 8), (Linia 430, Pozitia 10), (Linia 435, Pozitia 2), (Linia 435, Pozitia 7), (Linia 437, Pozitia 3), (Linia 438, Pozitia 1), (Linia 441, Pozitia 4), (Linia 442, Pozitia 1), (Linia 451, Pozitia 10), (Linia 456, Pozitia 1), (Linia 457, Pozitia 2), (Linia 463, Pozitia 6), (Linia 467, Pozitia 8), (Linia 467, Pozitia 13), (Linia 472, Pozitia 2), (Linia 475, Pozitia 1), (Linia 476, Pozitia 18), (Linia 481, Pozitia 8), (Linia 481, Pozitia 16), (Linia 481, Pozitia 20), (Linia 483, Pozitia 5), (Linia 488, Pozitia 1), (Linia 488, Pozitia 10), (Linia 489, Pozitia 7), (Linia 489, Pozitia 19), (Linia 493, Pozitia 1), (Linia 493, Pozitia 14), (Linia 493, Pozitia 16), (Linia 501, Pozitia 1), (Linia 510, Pozitia 13), (Linia 524, Pozitia 8), (Linia 528, Pozitia 1), (Linia 537, Pozitia 1), (Linia 541, Pozitia 4), (Linia 555, Pozitia 12), (Linia 555, Pozitia 17), (Linia 556, Pozitia 2), (Linia 556, Pozitia 5), (Linia 560, Pozitia 6), (Linia 560, Pozitia 12), (Linia 562, Pozitia 9), (Linia 563, Pozitia 10), (Linia 563, Pozitia 13), (Linia 564, Pozitia 12), (Linia 571, Pozitia 13), (Linia 571, Pozitia 16), (Linia 577, Pozitia 2), (Linia 577, Pozitia 5), (Linia 579, Pozitia 4), (Linia 581, Pozitia 3), (Linia 594, Pozitia 2), (Linia 595, Pozitia 7), (Linia 599, Pozitia 3), (Linia 601, Pozitia 2), (Linia 601, Pozitia 6), (Linia 604, Pozitia 2), (Linia 604, Pozitia 6), (Linia 604, Pozitia 17), (Linia 604, Pozitia 19), (Linia 606, Pozitia 3), (Linia 608, Pozitia 3), (Linia 608, Pozitia 16), (Linia 614, Pozitia 1), (Linia 614, Pozitia 9), (Linia 614, Pozitia 13), (Linia 614, Pozitia 18), (Linia 615, Pozitia 5), (Linia 616, Pozitia 11), (Linia 639, Pozitia 1), (Linia 643, Pozitia 1), (Linia 643, Pozitia 14), (Linia 644, Pozitia 7), (Linia 650, Pozitia 11), (Linia 650, Pozitia 16), (Linia 660, Pozitia 4), (Linia 661, Pozitia 1), (Linia 667, Pozitia 11), (Linia 676, Pozitia 6), (Linia 688, Pozitia 1), (Linia 694, Pozitia 1), (Linia 696, Pozitia 1), (Linia 698, Pozitia 1), (Linia 700, Pozitia 7), (Linia 700, Pozitia 12), (Linia 712, Pozitia 1), (Linia 726, Pozitia 17), (Linia 729, Pozitia 2), (Linia 747, Pozitia 7), (Linia 758, Pozitia 12), (Linia 772, Pozitia 15), (Linia 773, Pozitia 8), (Linia 787, Pozitia 6), (Linia 792, Pozitia 1), (Linia 795, Pozitia 1), (Linia 802, Pozitia 2), (Linia 805, Pozitia 1), (Linia 807, Pozitia 3), (Linia 807, Pozitia 5), (Linia 810, Pozitia 11), (Linia 811, Pozitia 5), (Linia 812, Pozitia 4), (Linia 814, Pozitia 1), (Linia 823, Pozitia 6), (Linia 823, Pozitia 13), (Linia 831, Pozitia 11), (Linia 837, Pozitia 4), (Linia 838, Pozitia 1), (Linia 838, Pozitia 5), (Linia 838, Pozitia 9), (Linia 840, Pozitia 12), (Linia 855, Pozitia 9), (Linia 857, Pozitia 7), (Linia 857, Pozitia 16), (Linia 865, Pozitia 1), (Linia 867, Pozitia 1), (Linia 869, Pozitia 1), (Linia 869, Pozitia 10), (Linia 874, Pozitia 1), (Linia 877, Pozitia 6), (Linia 881, Pozitia 3), (Linia 881, Pozitia 15), (Linia 883, Pozitia 7), (Linia 884, Pozitia 1), (Linia 884, Pozitia 14), (Linia 896, Pozitia 5), (Linia 898, Pozitia 2), (Linia 900, Pozitia 9), (Linia 903, Pozitia 6), (Linia 906, Pozitia 1), (Linia 906, Pozitia 8), (Linia 906, Pozitia 13), (Linia 913, Pozitia 4), (Linia 917, Pozitia 11), (Linia 918, Pozitia 8), (Linia 918, Pozitia 14), (Linia 919, Pozitia 2), (Linia 919, Pozitia 14), (Linia 925, Pozitia 17), (Linia 928, Pozitia 5), (Linia 929, Pozitia 9), (Linia 935, Pozitia 1), (Linia 938, Pozitia 9), (Linia 942, Pozitia 4), (Linia 946, Pozitia 10), (Linia 946, Pozitia 17), (Linia 947, Pozitia 8), (Linia 948, Pozitia 2), (Linia 948, Pozitia 17), (Linia 957, Pozitia 4), (Linia 960, Pozitia 1), (Linia 965, Pozitia 14), (Linia 992, Pozitia 1), (Linia 992, Pozitia 7), (Linia 992, Pozitia 13), (Linia 995, Pozitia 14), (Linia 997, Pozitia 2), (Linia 997, Pozitia 15), (Linia 998, Pozitia 4), (Linia 998, Pozitia 11), (Linia 998, Pozitia 17), (Linia 1005, Pozitia 13), (Linia 1007, Pozitia 6), (Linia 1011, Pozitia 1), (Linia 1013, Pozitia 17), (Linia 1016, Pozitia 6), (Linia 1019, Pozitia 1), (Linia 1019, Pozitia 8), (Linia 1019, Pozitia 12), (Linia 1021, Pozitia 6), (Linia 1023, Pozitia 1), (Linia 1023, Pozitia 6), (Linia 1025, Pozitia 5), (Linia 1028, Pozitia 1), (Linia 1028, Pozitia 14), (Linia 1029, Pozitia 3), (Linia 1032, Pozitia 3), (Linia 1034, Pozitia 1), (Linia 1035, Pozitia 7), (Linia 1035, Pozitia 17), (Linia 1037, Pozitia 10), (Linia 1038, Pozitia 10), (Linia 1038, Pozitia 15), (Linia 1040, Pozitia 7), (Linia 1042, Pozitia 14), (Linia 1044, Pozitia 4), (Linia 1052, Pozitia 2), (Linia 1052, Pozitia 4), (Linia 1053, Pozitia 3), (Linia 1058, Pozitia 1), (Linia 1059, Pozitia 5), (Linia 1060, Pozitia 2), (Linia 1060, Pozitia 10), (Linia 1061, Pozitia 11), (Linia 1062, Pozitia 1), (Linia 1063, Pozitia 2), (Linia 1064, Pozitia 1), (Linia 1066, Pozitia 17), (Linia 1068, Pozitia 10), (Linia 1071, Pozitia 6), (Linia 1073, Pozitia 3), (Linia 1076, Pozitia 1), (Linia 1076, Pozitia 4), (Linia 1076, Pozitia 13), (Linia 1077, Pozitia 8), (Linia 1081, Pozitia 11), (Linia 1082, Pozitia 1), (Linia 1086, Pozitia 1), (Linia 1089, Pozitia 6), (Linia 1091, Pozitia 2), (Linia 1091, Pozitia 7), (Linia 1092, Pozitia 4), (Linia 1096, Pozitia 1), (Linia 1098, Pozitia 6), (Linia 1100, Pozitia 10), (Linia 1104, Pozitia 2), (Linia 1108, Pozitia 3), (Linia 1108, Pozitia 4), (Linia 1112, Pozitia 2), (Linia 1112, Pozitia 6), (Linia 1115, Pozitia 14), (Linia 1116, Pozitia 3), (Linia 1116, Pozitia 18), (Linia 1121, Pozitia 1), (Linia 1121, Pozitia 8), (Linia 1125, Pozitia 1), (Linia 1125, Pozitia 9), (Linia 1128, Pozitia 1), (Linia 1128, Pozitia 7), (Linia 1129, Pozitia 5), (Linia 1130, Pozitia 2), (Linia 1130, Pozitia 13), (Linia 1131, Pozitia 17), (Linia 1132, Pozitia 10), (Linia 1132, Pozitia 18), (Linia 1134, Pozitia 10), (Linia 1137, Pozitia 1), (Linia 1137, Pozitia 8), (Linia 1138, Pozitia 1), (Linia 1138, Pozitia 18), (Linia 1143, Pozitia 1), (Linia 1143, Pozitia 10), (Linia 1145, Pozitia 1), (Linia 1149, Pozitia 1), (Linia 1149, Pozitia 8), (Linia 1153, Pozitia 1), (Linia 1153, Pozitia 6), (Linia 1153, Pozitia 14), (Linia 1155, Pozitia 1), (Linia 1155, Pozitia 6), (Linia 1159, Pozitia 2), (Linia 1159, Pozitia 12), (Linia 1159, Pozitia 15), (Linia 1161, Pozitia 3), (Linia 1163, Pozitia 16), (Linia 1178, Pozitia 6), (Linia 1186, Pozitia 10), (Linia 1186, Pozitia 18), (Linia 1196, Pozitia 6), (Linia 1200, Pozitia 2), (Linia 1201, Pozitia 1), (Linia 1201, Pozitia 6), (Linia 1201, Pozitia 10), (Linia 1203, Pozitia 2), (Linia 1205, Pozitia 1), (Linia 1207, Pozitia 2), (Linia 1210, Pozitia 3), (Linia 1210, Pozitia 15), (Linia 1214, Pozitia 8), (Linia 1214, Pozitia 13), (Linia 1216, Pozitia 1), (Linia 1217, Pozitia 8), (Linia 1218, Pozitia 1), (Linia 1220, Pozitia 1), (Linia 1222, Pozitia 6), (Linia 1224, Pozitia 1), (Linia 1225, Pozitia 14), (Linia 1231, Pozitia 7), (Linia 1233, Pozitia 1), (Linia 1233, Pozitia 5), (Linia 1235, Pozitia 14), (Linia 1242, Pozitia 12), (Linia 1242, Pozitia 16), (Linia 1244, Pozitia 2), (Linia 1244, Pozitia 14), (Linia 1245, Pozitia 7), (Linia 1246, Pozitia 2), (Linia 1247, Pozitia 8), (Linia 1247, Pozitia 14), (Linia 1248, Pozitia 16), (Linia 1250, Pozitia 2), (Linia 1251, Pozitia 13), (Linia 1253, Pozitia 2), (Linia 1263, Pozitia 10), (Linia 1266, Pozitia 13)"
II,"(Linia 47, Pozitia 1)"
If,"(Linia 10, Pozitia 17)"
IV,"(Linia 144, Pozitia 1)"
IX,"(Linia 378, Pozitia 1)"
If,"(Linia 160, Pozitia 1), (Linia 165, Pozitia 10), (Linia 181, Pozitia 12), (Linia 220, Pozitia 4), (Linia 232, Pozitia 9), (Linia 284, Pozitia 12), (Linia 312, Pozitia 1), (Linia 384, Pozitia 9), (Linia 435, Pozitia 1), (Linia 452, Pozitia 8), (Linia 457, Pozitia 1), (Linia 462, Pozitia 5), (Linia 486, Pozitia 10), (Linia 496, Pozitia 1), (Linia 604, Pozitia 1), (Linia 716, Pozitia 14), (Linia 774, Pozitia 12), (Linia 910, Pozitia 7), (Linia 916, Pozitia 15), (Linia 925, Pozitia 3), (Linia 1168, Pozitia 6), (Linia 1267, Pozitia 6)"
Il,"(Linia 1239, Pozitia 1)"
Ill,"(Linia 284, Pozitia 17), (Linia 420, Pozitia 3), (Linia 475, Pozitia 13), (Linia 924, Pozitia 15), (Linia 1124, Pozitia 2), (Linia 1158, Pozitia 1), (Linia 1176, Pozitia 13), (Linia 1194, Pozitia 7)"
Indeed,"(Linia 255, Pozitia 1)"
Im,"(Linia 403, Pozitia 2), (Linia 403, Pozitia 19), (Linia 564, Pozitia 2), (Linia 602, Pozitia 1), (Linia 868, Pozitia 9), (Linia 897, Pozitia 8), (Linia 965, Pozitia 1), (Linia 1010, Pozitia 1), (Linia 1110, Pozitia 14), (Linia 1141, Pozitia 1)"
In,"(Linia 358, Pozitia 1), (Linia 1037, Pozitia 4), (Linia 1060, Pozitia 15)"
International,"(Linia 155, Pozitia 13)"
Indies,"(Linia 765, Pozitia 16)"
Inquired,"(Linia 437, Pozitia 6), (Linia 469, Pozitia 5), (Linia 540, Pozitia 5), (Linia 542, Pozitia 4), (Linia 725, Pozitia 4)"
Its,"(Linia 616043328, Pozitia 491), (Linia 616174816, Pozitia 491), (Linia 112, Pozitia 8), (Linia 123, Pozitia 1), (Linia 181, Pozitia 1), (Linia 182, Pozitia 6), (Linia 184, Pozitia 6), (Linia 227, Pozitia 1), (Linia 230, Pozitia 8), (Linia 306, Pozitia 9), (Linia 344, Pozitia 1), (Linia 358, Pozitia 11), (Linia 358, Pozitia 16), (Linia 428, Pozitia 11)"
Is,"(Linia 341, Pozitia 1)"
It,"(Linia 18, Pozitia 5), (Linia 20, Pozitia 1), (Linia 23, Pozitia 9), (Linia 27, Pozitia 8), (Linia 38, Pozitia 4), (Linia 40, Pozitia 9), (Linia 50, Pozitia 15), (Linia 61, Pozitia 13), (Linia 77, Pozitia 2), (Linia 107, Pozitia 1), (Linia 112, Pozitia 6), (Linia 141, Pozitia 2), (Linia 147, Pozitia 1), (Linia 195, Pozitia 14), (Linia 200, Pozitia 1), (Linia 224, Pozitia 13), (Linia 228, Pozitia 13), (Linia 233, Pozitia 3), (Linia 239, Pozitia 10), (Linia 256, Pozitia 1), (Linia 294, Pozitia 1), (Linia 321, Pozitia 15), (Linia 329, Pozitia 5), (Linia 360, Pozitia 6), (Linia 399, Pozitia 15), (Linia 405, Pozitia 15), (Linia 410, Pozitia 11), (Linia 423, Pozitia 1), (Linia 436, Pozitia 12), (Linia 460, Pozitia 1), (Linia 470, Pozitia 16), (Linia 485, Pozitia 14), (Linia 497, Pozitia 12), (Linia 510, Pozitia 1), (Linia 510, Pozitia 8), (Linia 585, Pozitia 9), (Linia 615, Pozitia 15), (Linia 622, Pozitia 7), (Linia 629, Pozitia 8), (Linia 635, Pozitia 1), (Linia 643, Pozitia 8), (Linia 667, Pozitia 1), (Linia 673, Pozitia 13), (Linia 681, Pozitia 10), (Linia 693, Pozitia 1), (Linia 701, Pozitia 1), (Linia 723, Pozitia 5), (Linia 735, Pozitia 5), (Linia 735, Pozitia 15), (Linia 740, Pozitia 9), (Linia 743, Pozitia 2), (Linia 767, Pozitia 11), (Linia 839, Pozitia 8), (Linia 846, Pozitia 1), (Linia 875, Pozitia 11), (Linia 878, Pozitia 7), (Linia 885, Pozitia 1), (Linia 886, Pozitia 4), (Linia 916, Pozitia 1), (Linia 929, Pozitia 1), (Linia 941, Pozitia 11), (Linia 952, Pozitia 9), (Linia 1025, Pozitia 11), (Linia 1035, Pozitia 20), (Linia 1036, Pozitia 9), (Linia 1043, Pozitia 1), (Linia 1064, Pozitia 13), (Linia 1065, Pozitia 8), (Linia 1066, Pozitia 7), (Linia 1090, Pozitia 4), (Linia 1160, Pozitia 9), (Linia 1179, Pozitia 2), (Linia 1196, Pozitia 1), (Linia 1206, Pozitia 2), (Linia 1217, Pozitia 4), (Linia 1225, Pozitia 1), (Linia 1237, Pozitia 13), (Linia 1245, Pozitia 13), (Linia 1263, Pozitia 20)"
Itll,"(Linia 1222, Pozitia 1)"
Its,"(Linia 587, Pozitia 2), (Linia 601, Pozitia 15), (Linia 612, Pozitia 1), (Linia 612, Pozitia 7), (Linia 653, Pozitia 1), (Linia 653, Pozitia 9), (Linia 668, Pozitia 1), (Linia 691, Pozitia 9), (Linia 713, Pozitia 2), (Linia 716, Pozitia 3), (Linia 780, Pozitia 17), (Linia 878, Pozitia 1), (Linia 922, Pozitia 1), (Linia 956, Pozitia 2), (Linia 957, Pozitia 1), (Linia 972, Pozitia 9), (Linia 988, Pozitia 1), (Linia 1005, Pozitia 1), (Linia 1049, Pozitia 2), (Linia 1053, Pozitia 1), (Linia 1118, Pozitia 8), (Linia 1120, Pozitia 6), (Linia 1148, Pozitia 1), (Linia 1168, Pozitia 2), (Linia 1171, Pozitia 2), (Linia 1174, Pozitia 9), (Linia 1174, Pozitia 20), (Linia 1201, Pozitia 17), (Linia 1209, Pozitia 1), (Linia 1217, Pozitia 14), (Linia 1219, Pozitia 10), (Linia 1228, Pozitia 2), (Linia 1242, Pozitia 20), (Linia 1246, Pozitia 10), (Linia 1262, Pozitia 14)"
Ive,"(Linia 584, Pozitia 2), (Linia 1241, Pozitia 11)"
Je,"(Linia 379, Pozitia 1)"
a,"(Linia 7, Pozitia 11), (Linia 7, Pozitia 15), (Linia 9, Pozitia 10), (Linia 15, Pozitia 4), (Linia 17, Pozitia 10), (Linia 17, Pozitia 14), (Linia 18, Pozitia 7), (Linia 18, Pozitia 13), (Linia 18, Pozitia 18), (Linia 22, Pozitia 4)"
Prince,"(Linia 616041600, Pozitia 491)"
Mars,"(Linia 148, Pozitia 1)"
King,"(Linia 432, Pozitia 3), (Linia 442, Pozitia 9)"
Jupiter,"(Linia 147, Pozitia 17)"
Justice,"(Linia 479, Pozitia 5)"
Leon,"(Linia 6, Pozitia 2), (Linia 14, Pozitia 2)"
Kings,"(Linia 585, Pozitia 2)"
Language,"(Linia 914, Pozitia 1)"
Leave,"(Linia 400, Pozitia 14)"
Little,"(Linia 1, Pozitia 2), (Linia 3, Pozitia 4)"
Let,"(Linia 1059, Pozitia 1), (Linia 1228, Pozitia 4)"
Lets,"(Linia 249, Pozitia 5)"
Life,"(Linia 18, Pozitia 4)"
Little,"(Linia 246, Pozitia 2), (Linia 571, Pozitia 4), (Linia 1156, Pozitia 1), (Linia 1161, Pozitia 1), (Linia 1164, Pozitia 1), (Linia 1178, Pozitia 2)"
Look,"(Linia 793, Pozitia 2), (Linia 1259, Pozitia 1), (Linia 1265, Pozitia 1)"
Make,"(Linia 527, Pozitia 2)"
My,"(Linia 27, Pozitia 1), (Linia 29, Pozitia 4), (Linia 81, Pozitia 3), (Linia 89, Pozitia 1)"
Mcneill,"(Linia 4, Pozitia 7)"
May,"(Linia 437, Pozitia 2)"
Maybe,"(Linia 626, Pozitia 1), (Linia 1249, Pozitia 5)"
Mine,"(Linia 370, Pozitia 11)"
Men,"(Linia 774, Pozitia 5), (Linia 823, Pozitia 2), (Linia 875, Pozitia 1), (Linia 908, Pozitia 11), (Linia 958, Pozitia 1), (Linia 1046, Pozitia 1)"
Millions,"(Linia 304, Pozitia 1), (Linia 304, Pozitia 8), (Linia 565, Pozitia 2), (Linia 567, Pozitia 1)"
Minister,"(Linia 478, Pozitia 2)"
Mostly,"(Linia 445, Pozitia 2)"
Of,"(Linia 132, Pozitia 2)"
New,"(Linia 763, Pozitia 1)"
My,"(Linia 191, Pozitia 4), (Linia 313, Pozitia 16), (Linia 744, Pozitia 2), (Linia 746, Pozitia 1), (Linia 896, Pozitia 1), (Linia 1000, Pozitia 1), (Linia 1001, Pozitia 1), (Linia 1031, Pozitia 3), (Linia 1163, Pozitia 7), (Linia 1175, Pozitia 4)"
Negro,"(Linia 755, Pozitia 5)"
Nevertheless,"(Linia 1012, Pozitia 4)"
No,"(Linia 80, Pozitia 2), (Linia 80, Pozitia 4), (Linia 84, Pozitia 2), (Linia 87, Pozitia 1), (Linia 494, Pozitia 1), (Linia 551, Pozitia 5)"
Night,"(Linia 316, Pozitia 11)"
No,"(Linia 606, Pozitia 1)"
Now,"(Linia 65, Pozitia 7)"
No,"(Linia 669, Pozitia 1), (Linia 716, Pozitia 2), (Linia 877, Pozitia 1), (Linia 891, Pozitia 2), (Linia 893, Pozitia 2), (Linia 940, Pozitia 15)"
North,"(Linia 766, Pozitia 15), (Linia 768, Pozitia 10)"
Not,"(Linia 104, Pozitia 1), (Linia 182, Pozitia 12)"
Nothing,"(Linia 581, Pozitia 2), (Linia 894, Pozitia 1), (Linia 1026, Pozitia 1)"
Now,"(Linia 116, Pozitia 2), (Linia 222, Pozitia 4), (Linia 223, Pozitia 13), (Linia 652, Pozitia 2), (Linia 1129, Pozitia 1), (Linia 1244, Pozitia 1)"
Obviously,"(Linia 386, Pozitia 1)"
Once,"(Linia 177, Pozitia 1)"
Of,"(Linia 451, Pozitia 1), (Linia 479, Pozitia 2), (Linia 597, Pozitia 2), (Linia 745, Pozitia 2), (Linia 760, Pozitia 10), (Linia 880, Pozitia 1), (Linia 931, Pozitia 1), (Linia 933, Pozitia 1), (Linia 944, Pozitia 17), (Linia 1029, Pozitia 19), (Linia 1073, Pozitia 1), (Linia 1123, Pozitia 3), (Linia 1167, Pozitia 2), (Linia 1170, Pozitia 2), (Linia 1173, Pozitia 2)"
Oh,"(Linia 280, Pozitia 2), (Linia 483, Pozitia 2), (Linia 726, Pozitia 2), (Linia 812, Pozitia 2), (Linia 886, Pozitia 2), (Linia 1085, Pozitia 2), (Linia 1090, Pozitia 2)"
On,"(Linia 380, Pozitia 16), (Linia 440, Pozitia 11), (Linia 448, Pozitia 1), (Linia 787, Pozitia 2), (Linia 788, Pozitia 1), (Linia 888, Pozitia 1)"
Otherwise,"(Linia 406, Pozitia 3)"
One,"(Linia 187, Pozitia 6), (Linia 259, Pozitia 1), (Linia 348, Pozitia 12), (Linia 799, Pozitia 1), (Linia 974, Pozitia 1), (Linia 985, Pozitia 11), (Linia 1253, Pozitia 6)"
Only,"(Linia 768, Pozitia 1)"
Order,"(Linia 456, Pozitia 14)"
Original,"(Linia 3, Pozitia 1)"
Pay,"(Linia 239, Pozitia 5)"
Pacific,"(Linia 777, Pozitia 8)"
Pardon,"(Linia 870, Pozitia 2)"
Planet,"(Linia 750, Pozitia 1)"
People,"(Linia 1181, Pozitia 2)"
Perhaps,"(Linia 1105, Pozitia 1)"
Phew,"(Linia 552, Pozitia 2)"
Please,"(Linia 55, Pozitia 2), (Linia 71, Pozitia 2), (Linia 905, Pozitia 1)"
Pole,"(Linia 768, Pozitia 11), (Linia 769, Pozitia 6)"
Pressing,"(Linia 1133, Pozitia 16)"
The,"(Linia 1, Pozitia 1), (Linia 3, Pozitia 3)"
SaintExupry,"(Linia 616041552, Pozitia 491)"
Repeated,"(Linia 557, Pozitia 7), (Linia 741, Pozitia 6)"
Prince,"(Linia 3, Pozitia 5)"
Radiates,"(Linia 1041, Pozitia 19)"
Reminded,"(Linia 465, Pozitia 4)"
Right,"(Linia 139, Pozitia 3)"
Replied,"(Linia 430, Pozitia 4), (Linia 470, Pozitia 4), (Linia 836, Pozitia 10)"
Resumed,"(Linia 798, Pozitia 7)"
Sahara,"(Linia 48, Pozitia 16)"
Riposta,"(Linia 593, Pozitia 5)"
Russia,"(Linia 765, Pozitia 13)"
Saharan,"(Linia 1050, Pozitia 9), (Linia 1050, Pozitia 12)"
Said,"(Linia 447, Pozitia 4), (Linia 489, Pozitia 4), (Linia 512, Pozitia 5), (Linia 649, Pozitia 4), (Linia 686, Pozitia 8), (Linia 687, Pozitia 7), (Linia 709, Pozitia 5), (Linia 835, Pozitia 6), (Linia 851, Pozitia 2), (Linia 866, Pozitia 6), (Linia 911, Pozitia 7), (Linia 921, Pozitia 5), (Linia 928, Pozitia 2), (Linia 932, Pozitia 6), (Linia 964, Pozitia 8), (Linia 987, Pozitia 6), (Linia 1108, Pozitia 2)"
Something,"(Linia 49, Pozitia 2)"
She,"(Linia 54, Pozitia 14), (Linia 332, Pozitia 13), (Linia 333, Pozitia 3), (Linia 333, Pozitia 13), (Linia 334, Pozitia 8), (Linia 335, Pozitia 3), (Linia 360, Pozitia 15), (Linia 375, Pozitia 1), (Linia 497, Pozitia 1)"
Seen,"(Linia 761, Pozitia 1)"
Serious,"(Linia 290, Pozitia 1)"
Shame,"(Linia 542, Pozitia 1), (Linia 543, Pozitia 1)"
Siberia,"(Linia 764, Pozitia 8)"
She,"(Linia 750, Pozitia 6), (Linia 794, Pozitia 1), (Linia 854, Pozitia 1), (Linia 1232, Pozitia 1)"
Shes,"(Linia 793, Pozitia 6)"
Slowly,"(Linia 1060, Pozitia 1)"
Since,"(Linia 946, Pozitia 12), (Linia 947, Pozitia 13), (Linia 948, Pozitia 12), (Linia 949, Pozitia 11)"
